district,hour,pm10,pm25,o3,no2,co,so2
서대문구,17,29.963276836158194,15.854748603351956,0.050234261838440104,0.011889693593314762,0.3930640668523677,0.0030681948424068767
서대문구,18,29.207865168539325,15.696132596685082,0.0459817679558011,0.013666850828729283,0.42146408839779004,0.0032133903133903133
서대문구,19,28.73876404494382,15.991712707182321,0.04067493112947659,0.015185674931129477,0.46482093663911844,0.0034505714285714287
서대문구,20,28.531073446327685,16.581717451523545,0.036365013774104685,0.016342148760330577,0.49336111111111114,0.0035802857142857147
서대문구,21,28.50284090909091,17.202216066481995,0.03343977900552486,0.016549586776859505,0.5198050139275766,0.0037011396011396008
서대문구,22,28.418539325842698,17.403314917127073,0.03159335180055402,0.016390055248618786,0.5350974930362117,0.0036485795454545456
서대문구,23,28.16338028169014,17.479224376731302,0.02992176308539945,0.01609504132231405,0.5456388888888889,0.003597159090909091
서초구,0,33.87257617728532,19.45303867403315,0.02858732782369146,0.016580219780219778,0.39697802197802196,0.002464835164835165
서초구,1,33.50276243093923,19.77961432506887,0.02760745856353591,0.016194505494505494,0.39642857142857146,0.002450824175824176
서초구,2,32.422222222222224,19.041322314049587,0.02686878453038674,0.01571153846153846,0.39604395604395604,0.0024274725274725274
서초구,3,31.969444444444445,18.980716253443525,0.026528453038674037,0.01501978021978022,0.38980769230769236,0.0024002747252747252
서초구,4,31.288888888888888,18.624309392265193,0.025885911602209943,0.01465824175824176,0.38222527472527473,0.0023826923076923075
서초구,5,31.303621169916436,18.740331491712706,0.024330386740331493,0.0152489010989011,0.3792032967032967,0.002379395604395604
서초구,6,31.808333333333334,18.522099447513813,0.02165414364640884,0.017438461538461538,0.3795316804407714,0.002383241758241758
서초구,7,32.613259668508285,19.123966942148762,0.01858867403314917,0.020937362637362636,0.39319559228650136,0.002420879120879121
서초구,8,34.187675070028014,19.34806629834254,0.018435082872928176,0.022523626373626374,0.40479338842975204,0.002487087912087912
서초구,9,37.093484419263454,20.087078651685392,0.02138666666666667,0.02177645429362881,0.4114127423822715,0.0025301104972375687
서초구,10,38.82816901408451,20.609550561797754,0.025973949579831936,0.02008100558659218,0.408268156424581,0.0025601671309192203
서초구,11,39.65915492957746,20.55211267605634,0.031537078651685396,0.018156862745098038,0.39593837535014004,0.002584078212290503
서초구,12,39.00281690140845,19.875706214689266,0.037462535211267606,0.016172191011235956,0.3760674157303371,0.0025669467787114847
서초구,13,38.25574712643678,19.33903133903134,0.04306590909090909,0.01405014164305949,0.3630028328611898,0.0025454802259887005
